呵	口可kk
嗄	口夏kx
錒	金阿ja
𠼞	合亞hy
𥥩	穴向xx
𨉚	身奄uy
愛	爫夊vw｜心夊xw
捱	扌厓fy
礙	石疑uy
娭	女矣ny
薆	艹愛ca
靉	雲愛ya
曖	日愛oa
欬	欠亥qh
餲	食曷uh
噯	口愛ka
敳	.wd｜攵豈wq
懓	心愛xa
硙	石岂uq｜.uy
僾	亻愛ra
藹	艹曷ch｜艹謁cy
溰	.dd｜氵豈dq
焥	火宛hw
嬡	女愛na
懝	忄疑xy
瞹	目愛oa
諰	言思ys
隑	.ed｜耳豈eq
靄	雨曷yh｜雨謁yy
凒	.dd｜冫豈dq
啀	口厓ky
娾	.ny
昹	日永oy
溾	氵鬼dg
濭	氵蓋dg｜.dm
硋	石亥uh
磑	.ud｜石豈uq
銰	金艾ja
鎄	金哀ja
鑀	金愛ja
㑸	亻可rk
㕌	.id
㗒	口哀ka
㗨	.ky
㘷	土艾ta
㝶	.cs
㢊	.gq
㤅	心{无}xw
㱯	歹豈dq
㿄	.by
䀳	目束ou
䅬	禾益hy
䑂	月與oy
䔽	艹渴ck
䝽	.by
䨠	雨曷yh
䬵	食亥uh
䶣	齒豈iq
伌	亻厄re
嘊	口崖ky
堨	土曷th
塧	土益ty
壒	土蓋tg｜.tm
嵦	.ud｜山豈uq
敱	.pd｜.ud｜.uq｜.uy
璦	王愛wa
皚	白豆bd｜白豈bq
皧	白愛ba
絠	糸有sy
譪	言葛yg
譺	言疑yy
賹	貝益by
躷	身委uw
馤	香曷xh
鱫	魚愛ya
鴱	鳥艾na
𠊎	.ry｜亻圭rg
𠳳	口呆kd
𡁍	嗐欠hq
𡉓	土女tn
𡟓	女哀na
𡰽	尸尤uy
𡶃	山乙uy
𢟪	心既xj｜既心jx
𢟰	.xy｜心豕xu
𢣏	心蓋xg
𢣕	心疑xy｜疑心yx
𢰇	.fs
𣋞	日蓋og
𣜬	木愛ma
𣝅	木疑my
𣤃	匕乃bn｜欠乃qn
𣩄	.dg
𣩱	歹蓋dg
𤢵	犭厲ql
𤸖	疒哀ba
𤸳	疒豈bq
𤻢	疒又by
𥡽	禾夂hw
𥤦	穴又xy
𥴨	𥫗愛va
𦗍	耳旁ep
𦗐	.ey｜耳豕eu
𦤦	臭曷ih
𦥂	.vg｜土至tv｜至冂vk
𦥈	䒑至qv｜至冖vb
𦩴	舟豈vq
𧏹	.iy｜虫豕iu
𧓁	虫愛ia
𧡋	.jy｜厂見ij｜見圭jg
𧪚	言豈yq
𧰿	豕艾ua
𧵨	貝安ba
𨶂	門益my
𩂒	雨巳ys
𩂢	.yv
𩈋	面介mj
𩪂	骨豈gq
𩫇	不高bg
𩮖	髟豈iq
𪇈	鳥愛na｜愛鳥an
𪕭	鼠曷uh
广	丶丿dp
厂	一丿ap
鮟	魚安ya
闇	門音my
厈	厂干ig
菴	艹电cd｜艹奄cy
晻	日电od｜日奄oy
咹	口安ka
鞌	.bg｜革安ga
荌	艹安ca
銨	金安ja
啽	口廾kc｜口弇ky
痷	疒电bd｜疒奄by
韽	音酉yy
萻	艹音cy
儑	亻絲rs
媕	.nc｜女弇ny
峖	山安ua
堓	土岸ta
洝	氵安da
盫	合皿hm｜皿酉my
腤	月音oy
錌	金岸ja
隌	耳音ey
㜝	女酉ny
㟁	.ua
㱘	止厭vy
㸩	牛干ng
㽢	田奄ty
䁆	目奄oy
䅁	禾安ha
䅖	禾奄hy
䎏	羽含yh
䎨	耒奄ly
䜙	言㬎yx
䨄	隹酉vy
䬓	風音fy
䮗	馬岸ma
䯥	骨㬎gx
侒	亻安ra
偣	亻音ry
屵	山厂ui
屽	山干ug
揞	扌音fy
玵	王甘wg
罯	罒音sy
葊	艹廾cc｜艹弇cy
蓭	艹庵ca
裺	衤电yd｜衤奄yy
誝	言含yh
諳	言音yy
豻	豸干vg
貋	豸旱vh
雸	雨甘yg
馣	.xd｜香奄xy
鵪	鳥电nd｜鳥奄ny
鶕	鳥音ny
𠉬	亻厂ri
𠪚	厂敢ig
𠰑	.ka｜口干kg
𠽪	.ka｜口音ky
𠿑	口感kg
𡎑	土彦ty
𡪁	宀含bh
𡪙	安明am
𡯏	.wd｜尤斗yd
𡹼	.ey｜山言uy
𡽜	.ly｜山言uy
𢰍	扌火fh
𣆛	日覀ox｜覀日xo
𣚖	.ma｜木奄my
𣣚	欠奄qy｜奄欠yq
𣵱	.dk｜氵壬dr
𣽥	.dg｜氵頇dh
𤃷	.da｜氵音dy
𤜁	牟感mg
𤞿	犬犴qa
𤟉	犭岸qa
𥏮	矢音uy
𥦍	.xg｜穴廾xc
𥳬	竹黑vh
𦺽	.ca｜艹奄cy
𧖮	血日xo
𧩸	言弇yy
𧫥	言庵ya
𧫧	言酉yy
𧮍	.ya｜言音yy
𨲊	镸岸ia
𩅝	雲奄yy
𩈴	面音my
𩓤	頁岸ya｜岸頁ay
𩭢	髟岸ia
𩹎	魚音yy
𪁟	鳥含nh｜含鳥hn
𪒠	黑敢hg
𪘒	齒含ih
仰	亻卩re｜亻卬ry
骯	骨亢gk
枊	木卩me
昻	日卩oe｜日卭oq
㦹	.gy
㭿	木昂ma
㼜	瓦央wy
䀚	目卬oa
䍩	羊攵yw
䒢	艹卬ca
䩕	革卬ga
䭹	馬卬ma
䭺	馬亢mk
岇	.ue｜.uy
醠	酉盎ya
𠵫	口昂ka
𠹃	口盎ka
𡕉	吉口jk
𡵙	山卬ua
𢓋	彳卬xa
𣉗	日盎oa
𣖮	木盎ma
𤭒	良瓦lw｜丶瓦dw
𦫫	色翁sw｜翁色ws
𨋕	車卬ia
𩉰	.gz｜革巾gj
𩑝	頁卬ya｜卬頁ay
𩔘	勇頁yy
𩜟	飠昂ua
艹	丨一aa｜{艹}ck
奧	大釆db｜丿大pd
嚣	口口kk｜页口yk
獓	犭敖qa｜.qw
爊	火麃hb｜火灬hh
垇	土凹ta
鼇	黽敖ma｜黽攵mw
隞	耳敖ea｜.ew
墺	土奥ta
泑	氵幼dy
熝	火鹿hl
滶	氵敖da｜氵攵dw
芺	艹夭cy
抝	扌幻fh
襖	衤奥ya
鏕	金鹿jl
厫	厂敖ia｜.iw
慠	忄敖xa｜.xw
翺	.yg｜.yu
謷	言敖ya｜言攵yw
軪	車幼iy
扷	扌夭fy
澚	氵粤dy
鰲	魚敖ya｜魚攵yw
㑃	亻幼ry
㕭	口夭ky
㘬	土勾tg
㘭	土幻th
㜜	女敖na
㜩	女奥na
㟼	山敖ua
㠂	山敖ua
㠗	山奥ua
㤇	心夭xy
㥿	心敖xa
㿰	皮交pj
䐿	月奥oa
䚫	角敫jj
䜒	言奥ya
䞝	走玉zy
䥝	金麀jy
䦋	镸敖ia
䫨	頁敖ya
䮯	馬敖ma
䯠	.gw
䴈	鳥奥na
䵅	麥敖ma
嗸	口敖ka｜.kw
墽	土敫tj｜.tw
媼	女皿nm｜女昷nw
嫯	女敖na｜.nw
岰	山幼uy
嶴	山奥ua
摮	手敖ua｜.uw
擙	扌奥fa
柪	木幼my
梎	木匕mb
眑	目幼oy
磝	石敖ua｜石攵uw
翶	.yg｜.yu
蔜	艹敖ca｜艹攵cw
謸	言敖ya｜言攵yw
郩	耳肴ey
镺	镸夭iy
驁	馬敖ma｜馬攵mw
鷔	鳥敖na｜.nw
𡊛	土去tq
𡏼	土敖ta
𡒃	奥土at
𢁱	巾夭jy
𢕟	彳敖xa
𢧴	戈敖ga｜敖戈ag
𢲷	扌交fj
𢳆	扌敖fa
𣊁	日敖oa｜敖日ao
𣷫	氵放df
𤇯	亠丿wp
𤏶	火麀hy
𤺾	疒奥ba
𥂢	敖皿am
𥑑	石幼uy
𥜌	示奥ua
𦪈	舟敖va
𦽀	.ca｜艹頁cy
𧅃	.ca｜艹灬ch
𧨲	尚言uy｜言尚yu
𨱧	镸幼iy
𩈏	面幼my
𩑍	頁乚yg
𩑤	頁午yw｜午頁wy
𩕀	敖頁ay｜頁敖ya
𩘮	風敖fa｜敖風af
𩟇	飠奥ua
𩣻	.ma｜艹馬cm｜馬夭my
𩥊	馬高mg
𩮯	髟敖ia
𩱏	鬲敖ga
𩼈	魚奥ya
𪁾	.na｜艹鳥cn｜鳥夭ny
𪃨	幽鳥yn
伯	亻白rb
抜	扌友fy
覇	覀月xo
峇	山合uh
罷	罒能sn
犮	一丶ad｜友丶yd
丷	{丷}ba｜{丷}dm｜丶丿dp
鈀	金巴jb
哱	口孛kb｜口子kz
茇	艹犮cb｜艹又cy
軷	.ib
癹	癶殳du
仈	亻八rb
弝	弓巴gb
豝	豕巴ub
鲌	鱼白yb
壩	土霸tb
颰	.fb
炦	.hb
皅	白巴bb
垻	土貝tb
柭	木犮mb
釟	金八jb
㔜	力孚lf
㖠	口奈kn
㞎	尸巴ub
㧊	.fu
㶚	.db
䃻	石霸ub
䆉	禾罷hb
䇑	立卑lb
䎬	耒罢lb
䎱	耒罷lb
䟦	足友zy
䥯	金罷jb
䩗	革月go
䩻	革馬gm
䰾	魚巴yb
䱝	魚卑yb
䳁	.nb
䳊	.nb
叐	丿友py
哵	口别kb
夿	大巴db
欛	木霸mb
玐	王八wb
矲	矢罷ub｜.un
詙	言犮yb
跁	足巴zb
魞	魚入yr
鮁	魚犮yb
鮊	魚白yb
鼥	.ub
𠐌	亻罷rb
𠛋	.db
𠵺	口巴kb
𡚭	女八nb
𢃳	帚巴vb
𢇷	.gb｜广丶gd
𢠭	忄寂xj
𢺞	扌霸fb
𢻷	.wb｜攴巴pb｜巴攴bp
𣬶	毛巴mb
𣬷	巴毛bm
𤜕	土相tx｜牛相nx
𤜱	犭巴qb
𤣸	王丈wv
𤤒	.wb｜王丶wd
𥎱	.ub｜矢丶ud
𥐙	石八ub
𥝧	禾巴hb
𥥛	.xb｜穴丶xd
𦓧	耒八lb
𦫙	.sb｜白色bs
𦳺	艹丶cd
𧎱	.bk｜巴虫bi｜虫虫ii
𧲧	豸巴vb
𧺡	.zu
𧺺	.zb｜走丶zd
𧿏	足丶zd
𨊹	車巴ib
𩃴	.yc｜雨月yo
𩊤	.gb｜革丶gd
𩖣	風文fw｜文風wf
𩖽	風皮fp
𩚥	飠巴ub
𩡩	馬八mb
𩨜	骨巴gb
𩹏	鮊犬bq
𩽷	魚霸yb
呗	口贝kb
唄	口貝kb
擺	扌罷fb｜扌能fn
敗	攵貝wb
擘	手辟ub｜手辛ux
拝	扌丰ff
栢	木百mb
粨	米百mb
粺	米卑mb
韛	韋用wy
猈	犭卑qb
襬	衤罷yb｜衤能yn
㓦	刂百db
㗑	口拜kb
㗗	.bb｜另卑lb
㠔	.ub
㧳	手扮ub
㼟	瓦白wb
㼣	瓦百wb
㿟	白白bb
䒔	艹八cb
䙓	衤罢yb
䢙	辶貝zb
䳆	鳥白nb
䴽	麥卑mb
庍	广斤gj
挀	扌𠂢fp
瓸	瓦百wb
竡	立百lb
絔	糸百sb
薭	艹稗cb
贁	貝攵bw｜攵貝wb
𠟻	.db｜貝刂bd
𠫛	厶厶ss
𠮠	口勹kg
𡏯	土敗tb
